command_id,command,environment,expected_exit_code,actual_exit_code,stdout_summary,stderr_summary,output_paths,status,notes
help-claims,rak claims evaluate --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak claims evaluate [-h] --claims CLAIMS --evidence EVIDENCE --out OUT options: -h, --help show this help message and exit --claims CLAIMS --evidence EVIDENCE --out OUT",,,PASS,explicit parser help check; no traceback
missing-init,rak init,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak init [-h] --root ROOT --policy POLICY rak init: error: the following arguments are required: --root, --policy",,PASS,required-argument failure; no traceback
missing-inventory,rak inventory,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak inventory [-h] --root ROOT --policy POLICY --out OUT rak inventory: error: the following arguments are required: --root, --policy, --out",,PASS,required-argument failure; no traceback
missing-freeze,rak freeze,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak freeze [-h] --root ROOT --policy POLICY --baseline BASELINE [--force] rak freeze: error: the following arguments are required: --root, --policy, --baseline",,PASS,required-argument failure; no traceback
missing-verify,rak verify,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak verify [-h] --root ROOT --baseline BASELINE --out OUT rak verify: error: the following arguments are required: --root, --baseline, --out",,PASS,required-argument failure; no traceback
missing-support,rak support-audit,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak support-audit [-h] --data DATA --features FEATURES [--discrete DISCRETE] [--schema SCHEMA] --out OUT rak support-audit: error: the following arguments are required: --data, --features, --out",,PASS,required-argument failure; no traceback
missing-pareto,rak pareto-audit,clean wheel venv; no PYTHONPATH; no network,2,2,,usage: rak pareto-audit [-h] --candidates CANDIDATES --objectives OBJECTIVES --support-column SUPPORT_COLUMN [--selected-column SELECTED_COLUMN] [--claimed-column CLAIMED_COLUMN] --out OUT rak pareto-audit: error: the following arguments ar,,PASS,required-argument failure; no traceback
missing-split,rak split-audit,clean wheel venv; no PYTHONPATH; no network,2,2,,usage: rak split-audit [-h] --data DATA --manifest MANIFEST --id-column ID_COLUMN [--coordinate-columns COORDINATE_COLUMNS] [--group-column GROUP_COLUMN] [--time-column TIME_COLUMN] [--branch-column BRANCH_COLUMN] --out OUT rak split-audit:,,PASS,required-argument failure; no traceback
missing-gate,rak gate,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak gate [-h] --metrics METRICS --policy POLICY --out OUT rak gate: error: the following arguments are required: --metrics, --policy, --out",,PASS,required-argument failure; no traceback
missing-deviation,rak deviation record,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak deviation record [-h] --config CONFIG --out OUT rak deviation record: error: the following arguments are required: --config, --out",,PASS,required-argument failure; no traceback
missing-claims,rak claims evaluate,clean wheel venv; no PYTHONPATH; no network,2,2,,"usage: rak claims evaluate [-h] --claims CLAIMS --evidence EVIDENCE --out OUT rak claims evaluate: error: the following arguments are required: --claims, --evidence, --out",,PASS,required-argument failure; no traceback
valid-init,rak init --root <TMP>/repo --policy <REPO>/configs/integrity_policy.example.yaml,clean wheel venv; no PYTHONPATH; no network,0,0,"{""command"": ""init"", ""policy_id"": ""example_integrity_v1"", ""status"": ""PASS""}",,<TMP>/repo/.rak/project.json,PASS,no traceback
valid-inventory,rak inventory --root <TMP>/repo --policy <REPO>/configs/integrity_policy.example.yaml --out <TMP>/inventory,clean wheel venv; no PYTHONPATH; no network,0,0,"{""asset_count"": 3, ""command"": ""inventory"", ""missing_required"": 0, ""status"": ""PASS""}",,<TMP>/inventory/inventory.csv;<TMP>/inventory/inventory.json;<TMP>/inventory/summary.json,PASS,no traceback
valid-freeze,rak freeze --root <TMP>/repo --policy <REPO>/configs/integrity_policy.example.yaml --baseline <TMP>/baseline.csv,clean wheel venv; no PYTHONPATH; no network,0,0,"{""asset_count"": 3, ""baseline_id"": ""baseline-20260725T182228Z"", ""baseline_sha256"": ""ad13bf6c606a994077f0b89eff0f344df0e305eafdd876164b88dce9b548ff61"", ""command"": ""freeze"", ""forced_overwrite"": false, ""policy_id"": ""example_integrity_v1"", ""root",,<TMP>/baseline.csv;<TMP>/baseline.csv.sha256,PASS,no traceback
overwrite-refusal,rak freeze --root <TMP>/repo --policy <REPO>/configs/integrity_policy.example.yaml --baseline <TMP>/baseline.csv,clean wheel venv; no PYTHONPATH; no network,2,2,,"{""status"": ""ERROR"", ""error"": ""Baseline exists: <TMP>/baseline.csv""}",,PASS,existing baseline refused; no traceback
overwrite-force,rak freeze --root <TMP>/repo --policy <REPO>/configs/integrity_policy.example.yaml --baseline <TMP>/baseline.csv --force,clean wheel venv; no PYTHONPATH; no network,0,0,"{""asset_count"": 3, ""baseline_id"": ""baseline-20260725T182228Z"", ""baseline_sha256"": ""939c4874acb93418b70c5f946a0306e3e2338d908b3230b8d245e90f5c784602"", ""command"": ""freeze"", ""forced_overwrite"": true, ""policy_id"": ""example_integrity_v1"", ""root_",,<TMP>/baseline.csv;<TMP>/baseline.csv.sha256,PASS,forced_overwrite field checked separately; no traceback
valid-verify,rak verify --root <TMP>/repo --baseline <TMP>/baseline.csv --out <TMP>/verify-pass,clean wheel venv; no PYTHONPATH; no network,0,0,"{""baseline_id"": ""baseline-20260725T182228Z"", ""baseline_sha256"": ""939c4874acb93418b70c5f946a0306e3e2338d908b3230b8d245e90f5c784602"", ""command"": ""verify"", ""counts"": {""EXCLUDED_MATCH"": 1, ""MATCH"": 2}, ""gate_status"": ""PASS"", ""policy_id"": ""examp",,<TMP>/verify-pass/verification.csv;<TMP>/verify-pass/summary.json,PASS,no traceback
volatile-warning,rak verify --root <TMP>/repo --baseline <TMP>/baseline.csv --out <TMP>/verify-warning,clean wheel venv; no PYTHONPATH; no network,0,0,"{""baseline_id"": ""baseline-20260725T182228Z"", ""baseline_sha256"": ""939c4874acb93418b70c5f946a0306e3e2338d908b3230b8d245e90f5c784602"", ""command"": ""verify"", ""counts"": {""EXCLUDED_MATCH"": 1, ""MATCH"": 2, ""VOLATILE_WARNING"": 1}, ""gate_status"": ""PAS",,<TMP>/verify-warning/verification.csv;<TMP>/verify-warning/summary.json,PASS,new volatile file produces warning without failure; no traceback
scientific-mismatch,rak verify --root <TMP>/repo --baseline <TMP>/baseline.csv --out <TMP>/verify-fail,clean wheel venv; no PYTHONPATH; no network,2,2,"{""baseline_id"": ""baseline-20260725T182228Z"", ""baseline_sha256"": ""939c4874acb93418b70c5f946a0306e3e2338d908b3230b8d245e90f5c784602"", ""command"": ""verify"", ""counts"": {""EXCLUDED_MATCH"": 1, ""MATCH"": 1, ""MISMATCH"": 1, ""VOLATILE_WARNING"": 1}, ""gat",,<TMP>/verify-fail/verification.csv;<TMP>/verify-fail/summary.json,PASS,governed scientific asset mismatch; no traceback
valid-support,"rak support-audit --data <REPO>/examples/conditional_support_demo/data.csv --features architecture,optimizer,momentum,depth --discrete architecture,optimizer,momentum,depth --schema <REPO>/configs/support_schema.example.yaml --out <TMP>/support",clean wheel venv; no PYTHONPATH; no network,0,0,"{""cartesian_gap"": {""absent_combination_count"": 20, ""gap_ratio"": 0.8333333333333334, ""marginal_cartesian_size"": 24, ""observed_joint_size"": 4}, ""claim_boundary"": ""Empirical support only; no physical interpretation is produced."", ""command"": ""s",,<TMP>/support,PASS,no traceback
valid-pareto,"rak pareto-audit --candidates <REPO>/examples/pareto_audit_demo/candidates.csv --objectives loss:min,latency:min --support-column support_status --selected-column selected --claimed-column claimed --out <TMP>/pareto",clean wheel venv; no PYTHONPATH; no network,0,0,"{""command"": ""pareto-audit"", ""contamination"": {""MSIR"": 0.0, ""PCR"": 0.3333333333333333, ""SER"": 0.5, ""limitation"": ""These metrics audit support status, not physical feasibility or true performance."", ""pareto_count"": 3, ""selected_count"": 2, ""un",,<TMP>/pareto/pareto_audit.json,PASS,no traceback
valid-split-negative,rak split-audit --data <REPO>/examples/leakage_demo/data.csv --manifest <REPO>/examples/leakage_demo/manifest.csv --id-column row_id --group-column dataset_group --time-column timestamp --out <TMP>/split,clean wheel venv; no PYTHONPATH; no network,2,2,"{""command"": ""split-audit"", ""issues"": {""branch_overlap"": [], ""calibration_test_overlap"": [], ""coordinate_overlap"": [], ""duplicate_rows"": [], ""group_overlap"": [""g-one""], ""row_id_overlap"": [], ""temporal_leakage"": false}, ""metadata_only"": true,",,<TMP>/split,PASS,intentional leakage fixture; no traceback
valid-gate,rak gate --metrics <REPO>/examples/gate_demo/metrics.json --policy <REPO>/examples/gate_demo/policy.yaml --out <TMP>/gate,clean wheel venv; no PYTHONPATH; no network,0,0,"{""command"": ""gate"", ""criteria"": [{""metric"": ""change_abs"", ""status"": ""INCONCLUSIVE"", ""value"": 0.031}], ""gate_id"": ""example_effect"", ""status"": ""INCONCLUSIVE""}",,<TMP>/gate,PASS,"INCONCLUSIVE is a protocol outcome, not a software error; no traceback"
valid-deviation,rak deviation record --config <TMP>/deviation.yaml --out <TMP>/deviations.csv,clean wheel venv; no PYTHONPATH; no network,0,0,"{""command"": ""deviation record"", ""deviation_id"": ""release-demo-1"", ""status"": ""PASS""}",,<TMP>/deviations.csv,PASS,no traceback
valid-claims,rak claims evaluate --claims <TMP>/claims.csv --evidence <TMP>/evidence.csv --out <TMP>/claims-out,clean wheel venv; no PYTHONPATH; no network,0,0,"{""claim_count"": 1, ""command"": ""claims evaluate"", ""status"": ""PASS""}",,<TMP>/claims-out/claim_evaluation.csv;<TMP>/claims-out/summary.json,PASS,no traceback
malformed-yaml,rak inventory --root <TMP>/repo --policy <TMP>/malformed.yaml --out <TMP>/bad-yaml,clean wheel venv; no PYTHONPATH; no network,2,2,,"{""status"": ""ERROR"", ""error"": ""while parsing a flow sequence\n in \""<TMP>/malformed.yaml\"", line 1, column 9\nexpected ',' or ']', but got '<stream end>'\n in \""<TMP>/malformed.yaml\"", line 2, column 1""}",,PASS,structured error expected; no traceback
malformed-json,rak gate --metrics <TMP>/malformed.json --policy <REPO>/examples/gate_demo/policy.yaml --out <TMP>/bad-json,clean wheel venv; no PYTHONPATH; no network,2,2,,"{""status"": ""ERROR"", ""error"": ""Expecting value: line 1 column 15 (char 14)""}",,PASS,structured error expected; no traceback
malformed-csv,rak support-audit --data <TMP>/malformed.csv --features x --out <TMP>/bad-csv,clean wheel venv; no PYTHONPATH; no network,2,2,,"{""status"": ""ERROR"", ""error"": ""CSV header contains duplicate column names""}",,PASS,duplicate header rejected; no traceback
invalid-path,rak inventory --root <TMP>/does-not-exist --policy <REPO>/configs/integrity_policy.example.yaml --out <TMP>/invalid-path,clean wheel venv; no PYTHONPATH; no network,2,2,,"{""status"": ""ERROR"", ""error"": ""/private<TMP>/does-not-exist""}",,PASS,structured path error expected; no traceback
invalid-objectives,rak pareto-audit --candidates <REPO>/examples/pareto_audit_demo/candidates.csv --objectives loss --support-column support_status --out <TMP>/bad-objectives,clean wheel venv; no PYTHONPATH; no network,2,2,,"{""status"": ""ERROR"", ""error"": ""objectives must use name:min or name:max""}",,PASS,semantic input error expected; no traceback
